04
1,Sexwave,7,6,9,5,9,9,4,10,9,,2.5,10,8.5,10,7,8.5,7,10,5,9,9,5,9,8,2,,6,6,9,10,10,9,9,9,9,6,9,3,7,280.5
2,Autorollo,8,9,8,10,,8,6,7,8,4,9,7,8.5,9,9,6,8,6,8.5,5,2,8,5,,5,7,7,10,2.5,6.5,3,10,6,7,10,8,6,4,4.5,255.5
3,Tissid,6,7,5.5,9,6,4,,9,10,1,8,,8.5,6,8,7,1,7,8.5,8,7,9,3.5,10,10,9,9,,7,4,4,1,5,8,2,9,2,6,4.5,229.5
4,Softgrunge,3,10,10,1,10,3,,,4,10,10,9,,3,4,10,4.5,3.5,7,10,10,6.5,10,6,9,10,2,8,10,,9,8,4,6,8,,4,,6,228.5
5,Hunt,1,3,1,,3,6.5,7,1.5,3,5,6,8,6,2,10,,10,8,10,1,,,7.5,5,8,5,10,9,6,2,8,,7,10,6,7,10,10,10,212.5
6,Ambitious Outsiders,,8,7,3,4,10,8,8,5,8,,2,4.5,7,1,8.5,4.5,9,,7,4,3,6,3,,8,8,7,,9,1,7,8,4,7,,8,2,9,198.5
7,Lootuste Linnutee,5,,,8,7.5,5,5,6,6,6,1,,8.5,8,,2,9,5,2.5,6,,10,0.5,7,3.5,,4,3,8,8,6.5,5,10,,,2,7,8,8,181
8,Tuulispask,10,,4,6,7.5,,2,4,7,,5,6,3,,2.5,1,2,3.5,1,2.5,,,,9,1,1,,5,4,5,,2.5,3,,5,10,,9,1,122.5
9,Tuhat Nullpointerit,2,4,,2,,2,,4,2,,7,,,,2.5,5,,2,,,5,2,7.5,,7,4,,1,2.5,6.5,6.5,4,2,5,,5,,5,2,97.5
10,Nõmme Kolju,,,3,7,,,9,,1,7,,4.5,1.5,4.5,,,3,,4,,3,6.5,,,,,3,2,5,1,2,,,3,,3,,7,,80
11,Erinevad esitajad,,5,,4,5,6.5,1,1.5,,9,2.5,3,4.5,4.5,5,,,,,,,,2,,,6,5,,1,3,,2.5,1,,1,4,,,,77
12,Ma tean seda lugu küll,,,5.5,,,,3,,,,,,,1,6,3,,1,,,1,,,2,3.5,,,,,,,6,,2,,,2,1,3,40
13,Karini Saiad,9,2,,,1,,,,,3,,,,,,,,,,,6,1,0.5,,,,1,4,,,,,,,4,1,,,,32.5
14,Lendavad Ruudulised Sebrad,,,,,,,,,,,4,,,,,,,,6,4,8,,,4,,2.5,,,,,,,,,3,,,,,31.5
15,Hullud Ponid,,,,,,,,4,,,,1,,,,4,,,2.5,2.5,,,,1,,2.5,,,,,5,,,,,,5,,,27.5
16,Velosipeed N,,,,,,1,,,,2,,4.5,,,,,,,,,,4,3.5,,,,,,,,,,,,,,,,,15
17,Väike-Maarja DJ Tehnikum,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
18,Comoestas,4,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
19,Liiga palju möla,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6
20,Karini Saiad ft Mutid,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,6
21,Külvi Sääst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,3
22,Karma Põleb,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
22,Mutid,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
